"No","調査コース","二次メッシュ","lat1","lon1","lat2","lon2","標高(m)","海外線からの距離(km)","1990-2010年代の在不在の比較","1990の観測数","2010年の観測数","都道府県コード","2010 Total Precipitation (mm) within 20km□"
"259","014-083","664167","44.54393","141.96577","44.52128","141.96528","124","14.93983109","-1","5","0","1","43822.17"
"260","014-088","664156","44.45749","141.79508","44.45753","141.8086","26","3.014599053","-1","4","0","1","40255.363"
"261","014-091","664145","44.36187","141.71215","44.35078","141.73947","3.8","1.14262684","0","0","0","0","37154.715"
"262","014-092","664146","44.36135","141.84644","44.34189","141.86792","53","10.78230887","0","4","3","1","34357.477"
"263","014-095","664135","44.27727","141.65165","44.26067","141.6548","1","1.543390047","-1","6","0","1","37447.734"
"264","014-100","664126","44.22785","141.77927","44.21079","141.78364","27","9.7893077","0","5","2","1","34690.83"
"265","014-101","664127","44.20481","141.90085","44.1914","141.92531","81","19.52188618","-1","5","0","1","33370.816"
"266","014-103","664115","44.1494","141.70187","44.15222","141.73333","38","3.646834073","-1","6","0","1","36689.89"
"267","014-108","664106","44.05573","141.76238","44.0696","141.76041","32","8.231261241","0","14","7","1","35125.22"
"268","014-109","664107","44.06694","141.9229","44.04551","141.9262","79","21.01167573","0","5","3","1","33297.785"
"269","014-117","654165","43.88128","141.72565","43.893075","141.707508","15.4","9.116889366","0","0","0","0","35560.258"
"270","014-118","654166","43.85233","141.81029","43.869078","141.828197","32.9","16.61910552","1","0","2","1","35416.05"
"271","014-119","654167","43.85832","141.88357","43.8751","141.9009","81","21.24615898","0","20","1","1","34973.188"
"272","014-121","654152","43.780669","141.370239","43.768311","141.373972","3","0.2095573081","0","0","0","0","39499.227"
"273","014-133","684100","45.37252","141.0158","45.37763","141.0387","482","1.913294762","0","0","0","0","31277.604"
"274","014-136","674161","45.22275","141.21259","45.24191","141.22075","206","2.122061717","1","0","5","1","34072.848"
"275","015-003","664276","44.64499","142.83897","44.63401","142.80056","81","3.283907215","1","0","3","1","30745.262"
"276","015-004","664277","44.62237","142.91589","44.60481","142.89429","5","0.85891881","1","0","2","1","30094.48"
"277","015-008","664360","44.51202","143.03282","44.51063","143.05653","41","2.324233995","1","0","6","1","28905.008"
"278","015-013","664350","44.48797","143.1185","44.5027","143.09009","8","0.2695165318","-1","19","0","1","27999.404"
"279","015-014","664351","44.4662","143.15962","44.47234","143.13091","5","0.4761515763","1","0","8","1","27910.8"
"280","015-016","664247","44.34164","142.96221","44.35328","142.97461","109","20.6696839","1","0","7","1","29708.742"
"281","015-017","664340","44.40141","143.11325","44.387586","143.097614","60","8.319321615","1","0","4","1","28443.203"
"282","015-019","664342","44.41334","143.24899","44.39192","143.27341","7","0.3625665894","1","0","2","1","27898.348"
"283","015-022","664237","44.25482","142.90285","44.26976","142.89053","551","31.26186679","0","14","5","1","32609.23"
"284","015-024","664331","44.31506","143.18276","44.31251","143.14662","73","12.19909673","0","4","6","1","29265.36"
"285","015-025","664332","44.29758","143.35722","44.30196","143.31861","13.4","4.132486929","0","1","7","1","29385.318"
"286","015-026","664333","44.29004","143.45558","44.27795","143.48708","6","3.63170935","0","0","0","0","29356.8"
"287","015-027","664334","44.2566","143.51948","44.26144","143.53133","3","2.832597879","0","0","0","0","30309.996"
"288","015-032","664320","44.24905","143.09024","44.22293","143.11084","260","22.38031558","0","1","5","1","31851.95"
"289","015-034","664322","44.23217","143.33966","44.23001","143.30678","59","10.51356615","0","8","4","1","31669.488"
"290","015-036","664324","44.24798","143.56247","44.23569","143.56901","3","0.6010268001","0","0","0","0","29931.309"
"291","015-037","664325","44.19927","143.68757","44.20163","143.71121","3","3.805129921","0","0","0","0","28335.555"
"292","015-039","664510","44.1558163","145.1252281","44.14184804","145.1188714","254","0.4775152359","0","0","0","0","30798.623"
"293","015-040","664522","44.1792","145.31337","44.19428","145.33028","4.9","0.1240005288","0","0","0","0","30824.068"
"294","015-044","664311","44.13625","143.20088","44.16069","143.19836","113.4","25.79846685","0","1","3","1","35571.953"
"295","015-046","664313","44.14404","143.46866","44.16234","143.47925","95","14.15826458","0","4","4","1","33568.24"
"296","015-049","664316","44.1462","143.926883","44.154369","143.891008","9","2.288687639","0","0","0","0","26712.523"
"297","015-050","664317","44.12145","143.97017","44.09585","143.95723","3.3","2.648254863","1","0","3","1","26402.082"
"298","015-053","664411","44.09119","144.25206","44.11158","144.24519","46","0.6920443419","0","3","3","1","26590.564"
"299","015-054","664510","44.12159","145.08055","44.10576","145.06423","246","0.9156329931","0","0","0","0","31376.47"
"300","015-054b","664510","44.09357","145.01722","44.09587","145.01311","114","0.4961872633","1","0","3","1","32068.477"
"301","015-056","664512","44.14798","145.28068","44.12799","145.25699","4.2","0.8314392849","0","0","0","0","30885.941"
"302","015-059","664300","44.05444","143.0551","44.08076","143.07207","242","40.01119423","0","4","5","1","38535.42"
"303","015-061","664302","44.02354","143.35676","44.0404","143.33074","173","30.22715956","0","2","6","1","37402.125"
"304","015-063","664304","44.05248748","143.5475643","44.06574871","143.5740085","82","20.63295494","0","0","0","0","33005.547"
"305","015-066","664317","44.0845","143.93376","44.06279","143.93024","1","7.596543547","1","0","6","1","26703.877"
"306","015-067","664400","44.0259","144.08229","44.01699","144.04928","50","10.60895642","1","0","3","1","26361.65"
"307","015-068","664401","44.04563","144.19138","44.03598","144.2154","4","5.193171306","0","6","7","1","26503.6"
"308","015-071","664500","44.05467","145.10501","44.061","145.08952","740","7.893785985","0","0","0","0","31649.64"
"309","015-072","664501","44.03251","145.15511","44.0303","145.13481","127","3.397991298","0","0","0","0","31665.047"
"310","015-077","654373","43.93051","143.41697","43.93663","143.43048","479","37.30621291","0","3","8","1","36856.91"
"311","015-078","654374","43.97958","143.55495","43.963394","143.569089","153","28.06057026","0","4","3","1","33468.805"
"312","015-081","654377","43.93667","143.95585","43.92246","143.92308","24.8","22.33719679","0","0","0","0","28184.852"
"313","015-083","664401","44.00017","144.17176","43.98065","144.15998","21","8.085646942","1","0","1","1","26859.822"
"314","015-084","654472","43.95333","144.35893","43.94167","144.35558","9","0.5448824987","1","0","2","1","28503.475"
"315","015-085","654473","43.93532","144.44115","43.94105","144.4124","5","2.950815676","0","0","0","0","29072.504"
"316","015-088","654476","43.9621","144.84192","43.96883","144.84636","54","0.536089625","0","2","7","1","31884.045"
"317","015-091","654360","43.86113","143.04474","43.84454","143.02856","612","57.98909897","0","0","0","0","43793.895"
"318","015-092","654361","43.8984","143.15907","43.88135","143.16354","503","49.93793612","0","3","1","1","42506.508"
"319","015-093","654362","43.88845","143.34871","43.88843","143.31876","514","43.92602162","0","3","4","1","38704.99"
"320","015-096","654365","43.89107","143.65321","43.87252","143.67232","157","33.92422719","0","0","0","0","32251.965"
"321","015-098","654367","43.88693","143.96282","43.91136","143.97204","32.3","27.74238556","1","0","2","1","28640.023"
"322","015-099","654460","43.9123","144.04825","43.9085","144.06078","128","21.62260049","0","2","5","1","27995.25"
"323","015-101","654462","43.86351","144.35622","43.874722","144.361428","59","9.944353714","-1","1","0","1","28934.387"
"324","015-102","654463","43.84808","144.44871","43.8465","144.441067","38","9.7792379","0","0","0","0","29549.943"
"325","015-104","654465","43.884417","144.661531","43.887919","144.643744","8","3.72615237","0","0","0","0","31109.57"
"326","015-105","654476","43.928383","144.831792","43.930614","144.847414","153","2.605754868","0","0","0","0","31525.674"
"327","015-110","654353","43.7826","143.4512","43.76568","143.48068","441","51.40405206","0","1","1","1","37169.207"
"328","015-114","654357","43.75798","143.92169","43.75674","143.95611","121.1","39.36427033","0","17","4","1","29095.55"
"329","015-115","654450","43.79748","144.06362","43.79163","144.03528","32.1","28.05272083","0","1","2","1","28529.426"
"330","015-119","654454","43.76948","144.51646","43.75915","144.49822","97","17.27697229","0","0","0","0","30093.938"
"331","015-120","654455","43.76671","144.69255","43.76319","144.71905","700","17.00504774","0","0","0","0","30551.969"
"332","015-121","654456","43.79277","144.79554","43.77061","144.79876","262","15.08400355","1","0","2","1","30517.633"
"333","015-123","654340","43.69743","143.02323","43.69579","143.05425","713.7","74.69159794","-1","1","0","1","43841.95"
"334","015-124","654341","43.670003","143.107261","43.685931","143.122581","925.5","74.25457475","0","0","0","0","43679.574"
"335","015-126","654343","43.75098","143.40276","43.74193","143.4357","400","56.05193757","1","0","1","1","38377.258"
"336","015-127","654344","43.73648","143.61845","43.74555","143.57879","214.3","51.17232719","1","0","3","1","33173.5"
"337","015-128","654345","43.73612","143.64263","43.71931","143.65815","197.1","50.60961937","1","0","2","1","32719.916"
"338","015-130","654347","43.751","143.95118","43.73344","143.94518","160.1","38.09546801","0","12","4","1","28941.941"
"339","015-132","654441","43.70646","144.22935","43.71585","144.19385","221","29.82923123","1","0","1","1","28792.799"
"340","015-133","654442","43.7036","144.35266","43.70483","144.33205","733","27.19010911","0","0","0","0","29153.408"
"341","015-134","654443","43.75071","144.49044","43.72139","144.488","125","19.77534159","1","0","4","1","29939.613"
"342","015-138","654332","43.58605","143.34708","43.60642","143.33912","567","74.70274816","1","0","1","1","40100.137"
"343","015-139","654333","43.637983","143.445744","43.62758","143.45071","571","66.22692264","0","1","2","1","37889.24"
"344","015-141","654335","43.58603","143.68413","43.60927","143.70445","322","65.45756185","0","1","1","1","31842.348"
"345","015-142","654336","43.60224","143.86243","43.59454","143.84782","227.5","55.07728102","0","3","1","1","29123.121"
"346","015-143a","654337","43.65065","143.87357","43.62893","143.88586","299","50.42579022","1","0","2","1","29075.723"
"347","015-143b","654336","43.62877","143.88566","43.61306","143.87295","285","51.61139723","0","2","3","1","28958.643"
"348","015-144","654430","43.61895","144.10297","43.60264","144.11297","234","43.00110872","0","2","3","1","28678.393"
"349","015-145","654431","43.60245","144.15313","43.62044","144.12437","283","42.85807815","1","0","3","1","28753.598"
"350","015-147","654433","43.6031","144.38441","43.60241","144.39286","237.4","37.31632731","0","4","10","1","29370.469"
"351","015-149","654435","43.58771","144.72363","43.61085","144.72758","205","33.14572873","1","0","5","1","29948.709"
"352","016-012","654325","43.51798","143.71853","43.54256","143.72524","239.4","69.30475317","1","0","1","1","30721.21"
"353","016-013","654326","43.54326","143.80051","43.51874","143.79453","280","63.31639117","0","0","0","0","29663.564"
"354","016-018","654310","43.4816","143.05829","43.46149","143.03789","1619","94.74734246","0","0","0","0","40169.836"
"355","016-021","654313","43.46422","143.38107","43.48722","143.39581","537","78.77514043","1","0","1","1","37560.45"
"356","016-024","654316","43.46996","143.7832","43.46317","143.77497","269","62.22267717","1","0","1","1","29300.34"
"357","016-029","654207","43.37381","142.89577","43.3588","142.87256","424","97.74844098","0","1","1","1","37041.83"
"358","016-031","654301","43.3672","143.185808","43.369089","143.369089","548","80.57933621","0","0","0","0","36217.867"
"359","016-032","654302","43.3531","143.30771","43.37697","143.30209","440","72.82622627","0","1","2","1","35869.375"
"360","016-034","654304","43.355997","143.594661","43.375806","143.587431","182","58.77705686","0","2","3","1","31513.428"
"361","016-035","654305","43.382","143.65794","43.40516","143.65884","167","58.35439344","0","1","2","1","30495.238"
"362","016-036","654306","43.41114","143.75285","43.41082","143.78724","240","57.44649856","1","0","2","1","29265.852"
"363","016-042","644370","43.25551","143.04141","43.28414","143.0371","499","80.11482689","-1","2","0","1","35754.28"
"364","016-044","644372","43.275744","143.292861","43.2936","143.26883","307","67.23075997","1","0","1","1","34362.867"
"365","016-046","644374","43.29968","143.58215","43.29415","143.60129","146","54.33431269","1","0","0","1","30667.78"
"366","016-048","644376","43.30475","143.75302","43.31457","143.78467","183.8","46.98691421","0","2","3","1","28801.979"
"367","016-054","644361","43.19841","143.23978","43.17514","143.22573","224.3","64.25626268","0","0","0","0","32913.09"
"368","016-056","644362","43.24105","143.39411","43.22655","143.37243","323","58.81475328","0","2","2","1","33187.742"
"369","016-057","644364","43.19935","143.58606","43.20557","143.61224","112.4","45.15276786","1","0","1","1","28809.17"
"370","016-064","644351","43.12045","143.1836","43.114683","143.159467","162.8","61.3401993","0","0","0","0","31720.822"
"371","016-067","644354","43.09418","143.51585","43.10767","143.53227","43.2","40.12924914","0","0","0","0","28149.203"
"372","016-068","644355","43.12882","143.62545","43.14612","143.653","72.3","37.03521732","-1","4","0","1","26918.598"
"373","016-072","644247","43.0214","142.90341","43.00808","142.91626","135.2","70.7339318","0","1","4","1","36089.527"
"374","016-073","644340","43.01905","143.085267","43.025653","143.10585","106.9","59.16715629","1","0","1","1","33020.82"
"375","016-075","644342","43.0108","143.2561","43.01821","143.28532","72.4","48.50214113","-1","3","0","1","32019.121"
"376","016-076","644343","43.02191","143.43287","43.03746","143.40858","39","39.33123278","0","1","6","1","29613.783"
